snapshot_time_utc,game_name,stream_id,user_id,user_login,user_name,title,viewer_count,started_at,language,thumbnail_url,is_mature
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,316652287715,247067673,tsclout,tsClout,NBS tournament POV,10,2026-05-01T17:45:45Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_tsclout-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,318491311072,439489138,thebackgroundguyy,Thebackgroundguyy,😡 NOT ENDING STREAM UNTIL WE CRASHOUT 🤬,10,2026-05-01T16:04:21Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_thebackgroundguyy-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,317145343205,246474366,masszatka,masszatka,🐾hihetetlenül jól lövök ! kár hogy  mellé🏃‍♂️💀” 👀 Hihetetlen túlélés a pokolból -Maszatos Intech ultimate edition😁👑💀🐾👀,10,2026-05-01T14:41:16Z,hu,https://static-cdn.jtvnw.net/previews-ttv/live_user_masszatka-{width}x{height}.jpg,True
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,319031203546,198419639,claytizzle,Claytizzle,🚨45 DAY !FUNDRAISER STREAM FOR R6 UTAH MAJOR !PAYPAL🚨GRIND TO PARTNER🚨!DISCORD🚨,10,2026-04-29T20:52:24Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_claytizzle-{width}x{height}.jpg,True
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,315889094131,1211694848,fuuuuw_n,常_眠子,え え エイムが迷子のMAIGO,9,2026-05-01T15:08:44Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_fuuuuw_n-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,317147478373,269649191,fanur6,FanuR6,[EU/PC] | SUB = NO ADS | ENC READY BOYZZZZ,9,2026-05-01T17:33:56Z,other,https://static-cdn.jtvnw.net/previews-ttv/live_user_fanur6-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,316609161314,480041722,matanle,matanle,playing some R6 to finish off the stream (playing with people i know sorry),9,2026-05-01T17:29:24Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_matanle-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,315592957930,22255585,k752984163,心理醫生,【心理醫生來了】--,8,2026-05-01T14:23:44Z,zh,https://static-cdn.jtvnw.net/previews-ttv/live_user_k752984163-{width}x{height}.jpg,True
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,318387134556,605519365,rtvbrusky,RTVBrusky,QC/FR TEST JDM DRIFT MASTER ... R6 maybe Pratfall ..Installe toi et profite du moment avec nous!! .. ça part !!! #18+,8,2026-05-01T16:41:01Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_rtvbrusky-{width}x{height}.jpg,True
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,316652413027,1300239643,thekylehdr,thekylehdr,siege+ohmoggle try,8,2026-05-01T17:56:21Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_thekylehdr-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,316634789476,94426273,bamixie,Bamixie,Sandwich maker 35% OFF OF SUBS ♡ !wishlist !incentives ᯓ★ Twitch Women's Guild,8,2026-05-01T17:41:15Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_bamixie-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,316651900643,198180978,darkzy_ig,darkzy_ig,Ranked siege - R6,8,2026-05-01T17:08:20Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_darkzy_ig-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,316634176484,1410743676,aribeiro0989,aribeiro0989,FULL CUSTOMS WITH VIEWERS,8,2026-05-01T16:45:02Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_aribeiro0989-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,318432510558,1035141052,phatnumber1,PhatNumber1,🔴31 Day Stream🔴LIVE 24/7 🔴Day 1🔴!discord !gear !r6settings🔴,8,2026-05-01T04:00:26Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_phatnumber1-{width}x{height}.jpg,False
